职位名,公司,薪资,城市,区域,商圈,详细地址,经验,学历,职位标签,福利,岗位描述,HR 名称,HR 职位,活跃时间,职位链接,筛选状态,筛选原因,采集错误
后端 Backend Engineer-远程,某大型人工智能公司,40-65K,杭州,,,杭州拱墅区杭州深度求索人工智能基础技术研究有限公司1,3-5年,学历不限,,,"岗位职责：
负责公司产品后端服务的设计与实现，使用Node.js/Golang开发高性能后端服务
通过应用缓存、消息队列和有效的数据库调优，监控并优化服务性能，提升系统稳定性与可扩展性
与前端开发人员、产品经理和算法⼯程师协作，优化产品体验并实现AI算法解决⽅案
学习并应⽤最新的行业技术，同时探索创新解决方案，以⽀持公司产品的快速发展

任职要求：
本科及以上学历，计算机科学、信息技术或相关专业优先
3年以上后端开发经验（优秀者可适当放宽）
精通数据库架构设计和线上性能优化
具有使用缓存（如Redis）、消息队列和搜索技术（如Elasticsearch）优化业务性能的经验
熟悉Docker、Kubernetes等容器技术，具有在生产环境中使用Kubernetes部署和管理项目的经验
良好的编程习惯，熟悉Git版本控制，注重代码质量和可维护性
具备出色的解决问题的能力和对细节的关注
优秀的分析和学习能力
强烈的责任心和团队精神，以及良好的沟通与协作能力

具备以下条件者优先考虑：
了解AI模型和算法，包括传统机器学习模型、大语言模型和扩散模型
具备后端技术架构知识，具有全栈开发能力
拥有较强的系统架构能力，具有在线系统维护和排查流量相关问题的经验",谢女士,猎头顾问,刚刚活跃,https://www.zhipin.com/job_detail/58f7de1bb44750c30nV839i8EFZV.html,通过,通过,
golang高级开发工程师,凡华科技,15-20K,杭州,滨江区,长河,杭州滨江区初灵数据大厦705,3-5年,本科,,保底工资、工龄奖、零食下午茶、全勤奖、团建聚餐、住房补贴、绩效奖金、五险一金、股票期权、高温补贴、加班补助、节假日加班费、有无线网,"Golang 资深开发工程师（AI Agent 方向）
工作内容：
1.后端架构与研发： 负责使用 Golang 开发⾼并发、低延迟的业务后端，维护空间设计平台的账户、订阅、Token 计费及资源调度系统。
2.Agent 框架开发： 基于 LLM 开发 AI Agent 核⼼逻辑，参考并实现类似于 Claude Code 的任务编排、⼯具调用（Function Calling）以及多轮对话状态管理。
3.系统集成： 负责后端与实时渲染引擎、户型建模模块的深度集成，确保 AI 指令能精准转化为软件操作流。
4.性能优化： 针对 3D 设计资产检索、大规模并发渲染请求进⾏深度优化，提升系统响应速度。

任职要求
1.Golang 硬实力： 3 年以上 Golang 实际开发经验，精通 Goroutine、Channel 及内存管理，熟悉常用的 Web 框架（如 Gin/Echo/Go-Zero）。
2.AI 技术栈：
熟悉 OpenAI/Claude 等主流大模型 API 调用及 Prompt Engineering。
3.加分项： 有 LangChain、LlamaIndex 或自研 Agent 框架经验，理解 ReAct、AutoGPT 等 Agent 范式。
4.工程化能力： 精通 MySQL、Redis、PostgreSQL，熟悉 Docker/K8s 容器化部署；有处理高并发、分布式系统的实战经验。
5.底层视野： 对“AI 原生应用”有深度思考，不只是调用接口，而是能从工程层面解决 Agent 的长上下文管理、工具利用率和稳定性问题。

其他：
1.有图形学、3D 设计软件后端开发经验者优先。
2.对空间计算（Spatial Intelligence）或 Vibe Design 概念有热情。
3.拥有优秀的工程审美，习惯编写高质量、可维护的整洁代码。",郑先生,总经理,刚刚活跃,https://www.zhipin.com/job_detail/a607cb2737e513360ndz0960ElVR.html,通过,通过,
后端工程师（Go语言，3名）,广州研智博耀科技,20-40K,杭州,余杭区,仓前,杭州余杭区浙富西溪堂7幢203,5-10年,大专,,定期体检、五险一金,"岗位职责：

负责ZYMIX后端系统架构设计、开发、部署与维护，支撑高并发社交场景。

负责即时通讯、用户关系、内容发布、支付系统等核⼼模块的开发与优化。

设计并实现⾼性能、可扩展的微服务架构，保障系统稳定性与安全性。

负责数据库设计、缓存策略、消息队列等技术⽅案的选型与实施。

编写技术文档，参与代码评审，持续提升系统性能与开发效率。

任职要求：

5年以上后端开发经验，3年以上Go语言开发经验，熟悉微服务架构。

精通⾼并发、分布式系统设计，熟悉Redis、Kafka、MySQL/PostgreSQL等中间件与数据库。

有IM、社交平台、支付系统或小程序后端开发经验者优先。

熟悉Docker、K8s、CI/CD等运维部署工具，具备云原生开发经验。

良好的系统设计能力和问题排查能力，能适应远程协作与跨时区支持。",蔡女士,人事经理,刚刚活跃,https://www.zhipin.com/job_detail/a93448da5e6494c00nd42di1E1tU.html,通过,通过,
web3/远程工作主播,拓链文化,20-40K,杭州,余杭区,永旺梦乐城,杭州余杭区中国良渚数字文化社区1幢1806,10年以上,本科,JavaScript、Node.js、React、计算机/软件工程相关专业、前端开发经验,底薪加提成、五险一金、餐补,"我们是拓链技术团队，来自于微软、字节跳动、阿里等大厂背景程序员组建的技术社区，成员大多远程/半远程办公。

我们寻找这样的你：
计算机相关专业本科及以上学历： 扎实的计算机基础知识，熟悉至少一门编程语言，有实际开发经验者优先。
经验方向不限于以下任一：
1. 前端开发技术栈，需要熟悉 HTML/CSS/JavaScript、React/Vue/Angular、Node.js、Webpack 等。
2.后端开发技术栈，熟悉 Java/Python/Go、Spring/Django/Flask、MySQL/Redis/MongoDB、Linux/Shell 等。
3. 算法/AI技术栈,如 Python、TensorFlow/PyTorch、机器学习/深度学习算法、自然语言处理/计算机视觉等。

至少一年以上C端客户销售、开发者关系维护等相关经验， 具备优秀的沟通能力和客户服务意识，能够独立完成客户开发、需求挖掘、方案讲解、商务谈判等工作。
对技术产品有深刻理解，能够将技术优势转化为客户价值，具备良好的技术方案讲解能力。

学习能力强，适应力强： 具备快速学习新技术的能力，能够适应快速变化的市场环境，并愿意接受挑战。

工作内容：
1. 客户开发： 通过网络、线下活动等多种渠道，代表社区分享布道区块链技术，主动寻找潜在客户，建立联系并挖掘客户需求。
2. 客户沟通： 与客户保持良好沟通，了解客户需求，提供技术解决方案，解答客户疑问，促成合作。

加分项：
有互联网、软件、IT等行业销售经验者优先。
熟悉区块链技术领域优先。

希望你：
对技术充满热情，对销售工作充满激情。
具备良好的沟通表达能力和客户服务意识。
具备较强的学习能力和抗压能力。

加入我们，你将获得：
一份充满挑战和机遇的工作。
一个实现自我价值的平台。
一群志同道合的伙伴。
期待你的加入！",孙女士,职业顾问,本周活跃,https://www.zhipin.com/job_detail/3668a7bb7c99e7bf03B92961ElFU.html,通过,通过,
Golang,杭州七彩棱镜信息...,10-15K,杭州,余杭区,仓前,杭州余杭区中国人工智能小镇1期西区-11号楼7楼703,3-5年,大专,Golang、MySQL、MongoDB、Gin,,"1. 熟练掌握Go语言基础语法、协程、channel、并发编程、GMP模型、指针、切片、map、结构体、接口、面向对象设计思想。

2. 熟练使用Git版本管理，具备良好代码规范、单元测试、⽇志排查、线上问题定位能⼒。

3. 熟练掌握 MySQL、Redis，能独⽴完成数据表设计、SQL编写、索引优化、事务处理、缓存方案设计。

4. 熟练熟悉 Milvus、Elasticsearch、Neo4j、MongoDB 中间件/数据库，至少掌握其中2种：
 
- Milvus：向量库使⽤、向量检索、索引创建、海量向量数据写入与优化

- ES：分词、索引设计、DSL查询、聚合统计、日志/海量文本检索、集群基础认知

- Neo4j：图数据库建模、Cypher语句、关系图谱查询、节点与关系业务落地

- MongoDB：文档库设计、增删改查、聚合管道、索引优化、大数据量存储方案
 
5. 熟悉 HTTP、TCP、RPC、RESTful 接口设计，熟练使用 Gin/Echo/Kitex 等主流Go框架进行业务开发。

6. 了解 Linux 基础操作、Docker、服务部署、Nginx反向代理，具备基础服务运维与部署经验。

7. 了解消息队列、定时任务、分布式基础理论（限流、熔断、分布式锁）优先。

8. 具备独立需求拆解、接口开发、对接联调、文档编写能力，沟通协作良好。
 
加分项：
 
- 有微服务、云原生、K8s 使用经验

- 有AI向量检索、知识图谱、海量数据处理、爬虫数据中台相关业务经验

- 熟悉日志收集、监控告警、性能调优",黄华宾,招聘者,刚刚活跃,https://www.zhipin.com/job_detail/0b172f23fa78c1680nd839S7FlJV.html,通过,通过,
后端开发（可远程，应届生也可以）,某知名企业,25-50K·14薪,杭州,,,杭州上城区平安金融中心(江锦路)上城区,经验不限,本科,Golang、区块链、git、Docker、MySQL、Golang服务端开发经验、Redis、计算机相关专业、分布式、英语读写能力良好,,"优势：明星项目+氛围好+可远程
要求：
（1）3年经验以内，应届生也可以
（2）985本科/qs200
（3）acm获奖或者开源项目很牛

团队角色:
我们正在寻找优秀的软件工程师加入我们的核心团队。你的工作范围将包括设计和实现平台系统，智能合约开发等.
我们希望你能在你所负责的领域独立进行研究, 设计解决方案, 撰写必要的文档, 并协作团队成员完成需求.
关于你:
1.熟练掌握Go语言, 具有丰富的后端开发经验；
2.熟练使用PostgreSQL, MySQL, MongoDB, Redis，了解其背后的原理，最佳实践，以及性能调优策略;
3.熟练掌握分布式应用的基本开发知识点，包括缓存，分布式事务的实现（例如2PC）；
4.深刻理解软件开发中的测试原理和方法，测试金字塔，并能编写高覆盖，高可维护性的测试代码；
5.熟练使用Git；
6.熟练掌握Docker；
7.坚实的计算机基础知识；
8.优秀的英语书面交流能力；
9.对新技术充满热情;
加分项
1.对区块链生态感兴趣或者有研究, 编写并部署过智能合约，包括但不限于Solidity，Move，Cairo等。
2.熟悉gRPC, GraphQL;
3.熟悉AWS/GCP等云设施，了解现代DevOps实践，包括Kubernetes，GitOps。",王雪玲,猎头顾问,本月活跃,https://www.zhipin.com/job_detail/d7255044b5ac851603V839W7EFRX.html,已过滤,"活跃度过滤: 不活跃, [本月活跃]",
golang开发工程师（AI+新媒体）,颜途,20-30K·13薪,杭州,西湖区,转塘,杭州西湖区艺创小镇象山艺术公社,3-5年,本科,,生日福利、带薪年假、零食下午茶、股票期权、加班补助、绩效奖金、年终奖、团建聚餐、五险一金,"关于我们：AI 科技 × 影视行业标杆
颜途科技是一家以 AI 为核心驱动力的数字内容科技企业，聚焦于 AI 短剧、动画、动漫等影视内容的规模化⽣产，构建全球分发的影视级内容⽣产⼒系统。我们已与央视、腾讯、抖音等头部平台达成深度合作。诚邀你加入，⽤技术保障 AI 创作的每一个精彩瞬间。
深耕 AI 领域十余年，2019 年推出的 AI 短视频 APP 曾登顶 APP Store 全国第三，连续三年斩获 CVPR 全球计算机识别会议亚军！现聚焦动画、动漫、影视短剧核心赛道，服务央视、中国电影基金会、一线影视公司及东方航空、保时捷等 30 + 世界五百强企业，行业资源全链路覆盖，为你的创作提供顶尖平台支撑！

任职要求：
1.计算机、软件工程、人工智能、大数据等相关专业，3年以上后端开发经验。
2.掌握git的使用包括pull/push、rebase、merge等基本操作，了解gitflow、版本管理的概念。 了解restful的主要特征，并具有restful的实践能力。
3.熟悉关系型数据的基本知识，包括模式和模式转换、候选键、集合和关系推导、DDL/DML，索引与视图的特点应用场景。 掌握系统设计知识，包括模块化、DFD、面向对象以及设计模式，基本的算法知识分治法、贪心算法等。
4.精通golang或Python语言以及常用的web、orm、工具开发库。 对OCR、LLM、Agent、知识库、graph、ASR/TTS、RTC等至少两个概念有所认识。
5.理解计算机系统原理，包括进程、线程、协程，缓存/缓冲，流水线，集合操作、上下文、并行与异步。 至少了解两种网络协议，如http、DNS、gPRC，或者对TCP/IP各层次有掌握。
6.熟悉 Prompt Engineering（系统提示、结构化输出/约束、工具调用、对抗注入、防幻觉与回退策略）。熟悉LLM的API调用。
7.对OCR、LLM、Agent、知识库、graph、ASR/TTS、RTC等至少两个有过实践。熟悉n8n/dify/comfyUI工作流的使用。 部署过飞浆paddle\vLLM\LM studio\fastchat\flash-attention2其中一种大模型推理工具。
8.熟练使用redis和关系型数据库postgresql\mysql，graph、vector非关系型数据库的应用。 掌握Linux下一些常用命令的使用，如网络、文件相关的命令ss、nc、telnet，还有bash、service/systemctl、ssh、ftp/sftp、openssl、cUrl、logrotate、crontab、tcpflow等。
9.熟悉WebRTC或其他RTC方案的实施，包括技术特征、约束等。
10.熟悉FFmpeg的使用。 掌握k8s的基本使用。

加分项：
1.有软件开发的系统化思维，有工程化意识。
2.有使用confluence、jira协作工具的经验。 
3.对开发健壮性可维护性项目有独到经验。

岗位职责：
 1. 负责公司 AI 应用相关产品的后端设计、功能模块开发与系统维护，高质量完成技术方案落地。
 2. 参与需求评审会议，将业务需求转化为可执行的技术方案，确保开发实现与产品目标高度契合。
 3. 负责 OCR、LLM、Agent、知识库、Graph、ASR/TTS、RTC 等相关 AI 模块的集成与优化，提升系统的智能化水平。
 4. 参与知识库构建与检索增强问答（RAG）、多模态交互等功能的开发，实现 AI 能力的业务化落地。
 5. 编写技术文档（API 文档/系统架构说明/项目 Wiki），确保知识有效沉淀与团队共享。 
6. 持续优化系统性能与数据库结构，通过代码重构、索引优化、缓存策略等手段提升整体性能与稳定性。 
7. 负责与前端工程师的接口联调，确保 RESTful / gRPC 服务稳定高效，提升前后端协作效率。 
8. 参与技术选型与框架评估，输出 AI 应用相关工具链和中间件的可行性分析报告。 
9. 进行单元测试、集成测试与自测，保障 AI 应用的稳定性与可扩展性。 
10. 应用 AI 工具与工程化实践（如 AutoGen、fastmcp、NATS 等）提升开发与运维效能。 
11. 配合运维团队进行 Linux 环境部署、监控与优化，保障系统的高可用性。参与团队协作流程改进，使用 Confluence、Jira 等工具提升项目管理与知识协作效率。

入职福利：
1. 薪资待遇：基础薪资+绩效（面谈）+ 项目奖金，多劳多得，能力越强回报越丰厚；
2. 技能跃迁：优先体验前沿 AI 视频与设计技术，系统学习行业核心技能，比同龄人早一步掌握职场竞争力；
3. 履历镀金：深度参与一线影视公司动画、动漫项目及世界五百强数字营销项目， 工作经历含金量拉满；
4. 全面保障：五险一金（正式岗）+ 定期团建 + 节日福利 + 带薪年假 + 专项技能培训，兼顾工作与成长，全方位护航职业发展。",朱女士,人力行政经理,刚刚活跃,https://www.zhipin.com/job_detail/e854e8fa9dd5d0410nd93Nu0GVRU.html,通过,通过,
游戏后端开发工程师（golang、C#）,求诺,20000-30000元/月,杭州,西湖区,西溪,杭州西湖区天堂软件园D幢5楼,3-5年,本科,,交通补助、员工旅游、定期体检、高温补贴、团建聚餐、餐补、全勤奖、生日福利、节日福利、零食下午茶、加班补助、年终奖、绩效奖金、股票期权、带薪年假、五险一金,"工作周期：1个月
每周工期：5天及以上
工作时间：不限
⼯作时段：不限
结算⽅式：⽇结
招聘截止时间：2026-03-07
职位描述：
1. 负责SLG战棋类游戏项目服务器开发
2. 设计并搭建服务器框架、与Unity客户端对接，确保游戏功能正确，完整。
3. 监测游戏后端性能等指标，分析并优化系统表现。

 要求：
 1. 计算机相关专业，本科及以上学历 
 2. ⾄少熟悉一种后端语言，如C#，C++，Java，python或Golang。
 3. 熟悉MySQL、Redis数据库技术
 4. 至少参与过一款成功上线的游戏项目，有后端0-1项目经验者优先
 5. 具有良好的团队合作意识和沟通能力。",毛女士,HR,刚刚活跃,https://www.zhipin.com/job_detail/4734e8011061279e0nR92NW8F1FZ.html,通过,通过,
高级后端工程师,杭州唤智网络科技,20-30K,杭州,余杭区,仓前,杭州余杭区欧美金融城T422楼,3-5年,学历不限,Golang、后端开发经验、高并发、电商行业优先、AI 大模型、全栈侧重后端、AI、计算机相关专业、前端开发经验、英语读写能力良好、全栈项目经验,零食下午茶、五险一金,"工作时间：全职，双休，加班调休；需保证 10:00–19:00 每日在线≥8小时；紧急情况加班，周末急事需远程处理
薪资：20-30K
地址：杭州余杭欧美金融城T4
兴趣：对AI，AI API感兴趣，以及经常关注AI板块最新内容，模型能⼒等等，公司这边也基本有⼀⼿的信息源，及时同步学习更新，AI工具基本都是用最好的
1. 全栈开发能⼒
- 熟悉前后端分离架构、主流云服务部署（如 AWS、阿里云、腾讯云等）。
-（Node.js/Python/Go）并能写高并发API。
- 懂基本数据库（MySQL/PG/Redis）和缓存优化技巧。
2. 云原生和自动化运维
- 有容器化（Docker/K8s）和微服务实战经验，能搭建高可用、弹性伸缩的线上服务。
- 懂得CI/CD、自动部署与自动监控报警，能够帮你大规模自动发布和快速应急恢复。
3. API 设计、文档与开发者体验
- 懂得如何设计标准、易用、易扩展的API接口，能用OpenAPI/Swagger等自动生成文档。
- 能为开发者/用户设计极简的接入流程、调试工具，关心接口的前后一致性和错误提示体验。
4. 基础安全和成本意识
- 了解 API 安全（防刷、限流、鉴权）、DDoS 及用户隐私合规，有降本增效的心态与能力。
- 能评估和控制云资源费用，合理利用云服务工具，让系统既省钱又稳定。
5. 问题排查与学习力
- 有独立定位线上问题、应急快速修复的能力（了解监控、日志、自动报警体系）。
- 愿意主动学习新技术、研究业界最佳实践，不断优化架构和用户体验。
6. 了解服务器集群和异步
- 集群放到 aws，或者主流平台 k8s 上即可，负载均衡可以 cloudflare 来做
- 部分模型的异步，一些模型需要 100 多秒才能返回，可以调用以后返回 ID，然后通过 ID 去获取返回内容
7. 加分项
- 熟练使用 AI，对 ChatGPT、claude、gemini 都用过
- 熟练使用 AI 编程，对 claude code、cursor、codex 都用过
- 熟练上面两个，我们公司对 AI 产品基本能够畅享的
8.我们公司
- 我们公司是做 AI 大模型集合商的，目前做出海相关，例如海外的 openrouter、fal、wavespeed 平台
9.要求聪明一些会变通的，并且愿意跟着环境变化，AI 迭代也可以快速学习一下",温智宏,招聘者,刚刚活跃,https://www.zhipin.com/job_detail/fe8c27c01dee454603x70tW7EVpZ.html,通过,通过,
Golang,武汉佰钧成技术,10-14K,杭州,西湖区,西溪,杭州阿里巴巴云谷园区云谷园区9号楼,3-5年,大专,,节日福利、带薪年假、定期体检、补充医疗保险、五险一金,"职位描述:
1、负责业务需求拆解与技术方案设计，输出清晰的接口定义与开发文档
2、参与需求开发与联调，保障项目进度与交付质量
职位要求
大专 三年以上
1、⼤学本科及以上学历，两年以上云平台开发经验；
2、掌握并熟练使⽤Go 等开发语⾔或任意一种，有良好的编码习惯； 
3、熟悉Linux操作系统； 
4、熟悉MySQL、Redis、NoSQL等数据库、缓存技术；
5、有一定的⽹络开发&维护经验，熟悉tcp协议栈、ip转发原理、linux的iptables配置等； 
6、对技术富有热情，能关注互联网行业技术和AI技术发展趋势",郑女士,招聘经理,刚刚活跃,https://www.zhipin.com/job_detail/f2a1129279d1d9330ndz39i_ElBR.html,通过,通过,
高级golang工程师,杭州智能涌现人工...,20-25K·13薪,杭州,滨江区,长河,杭州滨江区杭州人工智能产业园807,3-5年,大专,,住房补贴、股票期权、带薪年假、五险一金、定期体检、意外险、绩效奖金,"你的AI武器库——入职即发
Claude  code 满杯订阅
ChatGPT Plus 订阅
Cursor Pro 订阅
其他按需申请，公司买单

我们的信条是""人人驱动AI做事""。写代码用AI、做Code Review⽤AI、写技术⽅案⽤AI。不是要求你依赖AI，是要求你善用AI让自⼰的产出翻倍。

我们是谁
我们在做AI红娘——用AI Agent替代传统红娘，让AI真正理解用户、做匹配决策、帮人找到对的人。
不是套壳聊天机器人。我们做的是完整的AI Agent系统：多轮对话理解、用户画像构建、智能匹配推荐、信任体系建立——每一层都是硬工程问题。
Go是我们核心服务层的主力语言。IM消息系统、用户服务、匹配引擎、API网关——所有需要高性能、高并发、长期稳定运行的服务，都跑在Go上。
公司刚组建，团队很小。说白了：你写的代码就是产品本身，你做的技术决策会直接定义这个产品的技术走向。

我们希望你是这样的人
硬条件

Go是你的主力语言，至少3年线上服务经验——用Go搭过跑在生产环境的服务，不是写过几个练习项目
有从0到1搭建服务/系统的经验——不是接手一个成熟系统做维护，是自己选型、设计、搭建、上线
至少在以下2个领域有实战：IM即时通讯、用户系统/社交关系链、推荐/匹配系统、支付/会员体系、高并发架构设计、内容审核/风控

加分项（命中越多越兴奋）

做过IM/消息系统——WebSocket长连接、消息投递保证、离线消息、群聊。命中这条优先级极高
有高并发实战经验——处理过流量暴增、做过性能压测和调优、扛过线上事故
做过技术选型并为结果负责——不是用什么就学什么，是你来决定团队用什么
带过2-3个人的小团队，或指导过初级工程师
除Go外还熟悉Python，能跟AI工程师无缝沟通
用Claude Code/Cursor/Copilot写代码，AI辅助开发是你的日常
做过社交/婚恋/内容社区类产品的后端
有个人项目或开源贡献

我们最看重的三件事
第一，你被硬仗训练过。
我们要的不是简历上写了很多技术名词的人，而是真正经历过高难度项目、解决过棘手问题的人。你在之前的公司扛过什么样的系统？遇到最难的工程问题是什么？你是怎么扛过来的？这些比你会多少框架重要一百倍。
第二，你有主人翁意识。
创业公司没有人告诉你""接下来做这个需求""。你需要自己判断：现在系统最大的风险是什么、下一步最该做什么、这个技术方案行不行。那种看到隐患就忍不住要修、看到烂代码就忍不住要重构的人，就是我们想找的人。
第三，你有技术判断力。
不是会用什么就用什么，而是知道在什么场景下该用什么、为什么。你做过的技术选型，你能说清楚当时为什么选A不选B，后来验证了没有。这种判断力只有在真实项目里摔过跤才能长出来。",胡东红,ceo,刚刚活跃,https://www.zhipin.com/job_detail/29cef295e5400b030nVz3N2_E1dX.html,通过,通过,
Agent架构工程师-可远程办公,某人工智能公司,40-70K·15薪,杭州,,,杭州余杭区阿里巴巴数字生态创新园1,3-5年,本科,Golang、Java、后端开发经验、中大型项目架构设计经验、Node.js、MySQL/Redis/MongoDB、计算机相关专业、Python,年终奖、带薪年假、股票期权、定期体检、团建聚餐、绩效奖金、企业年金、五险一金,"核心职责：
- 领域建模：具备优秀的需求分析、领域建模能力，有实际的 DDD 或其他系统性建模方法的经验。
- 架构设计与实现： 主导和设计可扩展、高性能、稳定的后端系统架构，确保系统的核⼼可⽤性和稳定性。
- ⾼并发处理： 负责处理和优化系统在高并发场景下的性能瓶颈，具备实际线上系统性能优化的成功经验。
- 外部服务集成： 负责管理和集成大规模的内部和外部API及服务，确保⾼效、稳定的数据交互和业务流程打通。
能力要求：
  - 精通至少一种后端编程语言（如 Java, Go, Python, Node.js 等），并深入理解其并发模型和性能优化机制。
  - 深入理解服务器架构、API 设计（RESTful, GraphQL, gRPC）、缓存、消息队列等技术栈。
  - 熟悉云平台（如 AWS, 阿里云）和容器化技术（Kubernetes）者优先。
- 架构经验： 具备设计和实施互联网产品类大型系统架构的实际经验，能够应对复杂的业务场景和技术挑战。
  - 优秀的沟通和协作能力，能够与前端、产品经理等跨职能团队有效合作。
综合能力：
- 有『主动性』、『好奇心』、『爱深度思考』、『极强的学习能力』、『Hands-on 执行力』
  - 有自己的博客和开源项目，是个 Builder & Creator。没有什么比作品、输出和投身一线并取得的成果更有说服力。
  - 持续迭代，对技术充满好奇且热爱，不断实践，干中学。一直在一线解决问题、写方案、编写代码。
  - 有自己的完整思考系统和技术世界观。加分项。
- 多维度的拥抱『AI』，我们期待你能：
  - 在工作、生活中充分使用 AI 能力。在有良好软件设计能力的基础上充分和 AI 协作，高质量的 AI Coding，有创新的 AI 协同工作流。重度使用 Cursor、Claude Code 或相关 AI 产品。
    - 能与 AI 协作。
  - 在基础模型更新、变强后针对性配合 AI 改善自己的工作流。
加分项：
- 有复杂视频工具后端的架构设计经验。
- 设计过 Agent 系统，做过 Context Engineering，有自己的系统化深度思考。做到模型能力提升，系统能力提升。",王惠婷,猎头顾问,刚刚活跃,https://www.zhipin.com/job_detail/d62f7acb6a7dd93c0nR529--E1pU.html,通过,通过,
golang工程师,杭州辰链信息科技,15-25K,杭州,萧山区,钱江世纪城,杭州萧山区广孚联合国际中心2806,经验不限,本科,,夜班补助、加班补助、零食下午茶、全勤奖、员工旅游、餐补、交通补助、保底工资、团建聚餐、五险一金,"1. 3 年以上 Go 实战经验，深耕 Go 语言核心特性（goroutine/channel/ 接口 / 反射等），能以简洁高效的代码解决高复杂业务问题，享受 “编码即创造” 的快感；
2. 计算机基础扎实：吃透数据结构、算法、计算机⽹络、操作系统核⼼原理，能从底层逻辑拆解技术难题，拒绝 “知其然不知其所以然”；
3. 具备架构设计能⼒：主导或深度参与过微服务 / 分布式系统搭建，能独立完成技术选型、架构拆分、性能建模，平衡系统扩展性与落地效率；
4. 玩转 AI Coding：熟练运用 Claude Code、Codex 等 AI ⼯具提效，能通过 AI 辅助完成代码生成、逻辑校验、bug 排查，让技术创意快速落地；
5. 高抗压 + 结果导向：能应对业务快速迭代与复杂场景挑战，在高压下保持清晰思路，聚焦问题解决，不被流程内耗；
6. 认同 “vibe coding” 理念：既能专注沉浸攻坚，也能高效协同脑暴，代码规范清晰，擅长用测试保障质量，在 “快速迭代” 与 “稳定可靠” 间找到最优解。",付女士,人事主管,刚刚活跃,https://www.zhipin.com/job_detail/fcace18cef6e15bc0nd729u_E1dY.html,通过,通过,
AI后端开发工程师（golang）,小蚕,25-35K,杭州,钱塘区,和达东东城,杭州钱塘区东投新悦广场C座1楼,5-10年,本科,Golang、Golang服务端开发经验、中大型项目开发经验,生日福利、节日福利、绩效奖金、股票期权、零食下午茶、带薪年假、通讯补贴、五险、团建聚餐,"五险一金，9:00-18:00
节假日假期活动礼品，生⽇礼，下午茶等福利
90后00后同事，团队氛围nice

""⼀、⼯作职责
1. 负责中后台及AI相关业务模块的后端研发工作，包括内部技术赋能、技术创新及AI模型服务化等板块；
2. 参与系统需求分析与功能设计，充分理解业务及AI场景需求，制定可行的技术⽅案；
3. 基于需求参与项目架构设计及核心模块开发，涵盖AI相关服务接口、数据链路等，保障研发质量与效率；
4. 结合业务与AI发展目标，学习前沿技术，对现有系统及AI相关模块持续优化，提升系统可用性与可扩展性；
5. 积极参与技术、产品、业务及AI算法团队沟通协作，推进项目发展。
二、任职要求
1. 全日制本科及以上计算机相关专业，5年及以上工作经验，有互联网、电商、大厂及AI相关行业经验者优先；
2. 熟练掌握数据库知识，具备良好设计和优化能力，熟练使用MySQL、Redis、Etcd，了解向量数据库者优先；
3. 熟练掌握Go语言及Gomicro等主流框架，能实现AI相关服务开发；
4. 熟悉常用数据结构、算法及设计模式，具备良好模块设计能力和编码规范；
5. 了解AI基础技术，有大模型应用或AI服务开发经验者优先，能与算法团队高效协作；
6. 具备强烈的责任心、踏实认真，有良好团队精神及跨部门沟通能力。
三、核心技术栈
开发语言：Go
核心框架：Gomicro
基础技术：MySQL、Redis、Etcd、微服务架构、WebSocket
AI相关技术：大模型应用开发、模型服务化框架（TensorFlow Serving/Triton等）、向量数据库、机器学习工程化""",李女士,HRBP,刚刚活跃,https://www.zhipin.com/job_detail/de15e380210eeba50nV72N-5F1ZX.html,通过,通过,
